ITEM,ITEM_NM,WEEK_NUM,FW_ORDER,PLC_RATIO,FORECAST_INDEX,N_USED,MONTH
BR,BR,7,11,0.506811359963057,1.374031890660592,2,2
BR,BR,8,12,0.6963749711383052,1.1123723776910388,2,2
BR,BR,9,13,0.5924151466174095,1.0947271890768215,2,3
BR,BR,10,14,0.6276264142230432,0.9376899479976819,2,3
BR,BR,11,15,0.5666965470094757,0.885260462307445,3,3
BR,BR,12,16,0.3929612174277854,0.9002782370458379,3,3
BR,BR,13,17,0.434021788504519,0.9946134027396241,3,3
BR,BR,14,18,0.514717577941667,1.1303522390673413,3,4
BR,BR,15,19,0.566519226793311,1.0676834439348049,3,4
BR,BR,16,20,0.5192056657959112,1.0168975526042783,3,4
BR,BR,17,21,0.5366343566596191,1.0242001938598997,3,4
BR,BR,18,22,0.6023982747874799,1.0669012638399977,3,5
BR,BR,19,23,0.6292573829347025,0.9868329734805442,3,5
BR,BR,20,24,0.4992296002523229,0.9435005727624848,3,5
BR,BR,21,25,0.4955111575916444,0.9845973446184985,3,5
BR,BR,22,26,0.5786962210420996,1.0406208545185047,3,5
BR,BR,23,27,0.5563780195369151,0.9696614516137624,3,6
BR,BR,24,28,0.4337931586087833,1.039798492216418,3,6
BR,BR,25,29,0.5978920776345634,1.0293308988733485,3,6
BR,BR,26,30,0.5560580885937073,1.260525367834073,3,7
BR,BR,27,31,0.8192163804642923,1.0277087535652092,3,7
BR,BR,28,32,0.5569348804710832,1.1402909470657296,3,7
BR,BR,29,33,0.7060694823607886,1.0347958383130844,3,7
BR,BR,30,34,0.8167610613859951,1.1597947434610558,3,7
BR,BR,31,35,0.8615483752186321,1.0038571326617343,3,8
BR,BR,32,36,0.6892082161888076,0.9831393353692652,3,8
BR,BR,33,37,0.7544198007071682,0.8302836237387915,3,8
BR,BR,34,38,0.44983648812407284,0.8185108135940373,3,8
BR,BR,35,39,0.343965755316211,0.6804571612514476,2,9
HD,후드티,3,7,0.533130464369569,1.5641136568982805,3,1
HD,후드티,4,8,0.833876640228965,1.2994659729750793,3,1
HD,후드티,5,9,0.8629107981220657,1.111852562929715,3,2
HD,후드티,6,10,0.635642307670449,0.8975480719452852,3,2
HD,후드티,7,11,0.5855538107492367,0.905100014520675,3,2
HD,후드티,8,12,0.6192079988480691,1.0389597101335302,3,2
HD,후드티,9,13,0.7047855348638437,0.9839380215873769,3,3
HD,후드티,10,14,0.532913093785005,0.9209661376735595,3,3
HD,후드티,11,15,0.4628661787358071,0.8143550845938132,3,3
HD,후드티,12,16,0.37879656788142085,0.8243942270872906,3,3
HD,후드티,13,17,0.29782976583213167,0.776421001710372,3,3
HD,후드티,14,18,0.2158190008127057,0.7358459433570689,3,4
HD,후드티,15,19,0.15034955055224017,0.6841192595721616,3,4
HD,후드티,16,20,0.09488146590376867,0.6922516334350394,3,4
HD,후드티,17,21,0.07106962520227968,0.7693997669257042,3,4
HD,후드티,18,22,0.06595907212173573,0.8059921131557903,3,5
HD,후드티,19,23,0.04886574778658123,0.74126131008303,3,5
HD,후드티,20,24,0.02711284259438608,0.656965461142219,3,5
HD,후드티,21,25,0.018306682121397525,0.5188836273822898,3,5
HD,후드티,22,26,0.005979036190511329,0.9253725783111871,3,5
HD,후드티,23,27,0.010608665820140958,0.8322659359646963,3,6
HD,후드티,24,28,0.0041997949276097535,1.2336159096943045,3,6
HD,후드티,25,29,0.006428432707867668,0.9168728141223023,3,6
HD,후드티,26,30,0.005297549687267168,1.0083757839106786,3,7
HD,후드티,27,31,0.00355143668530868,0.9705509613433857,3,7
HD,후드티,28,32,0.005033023213866624,1.0594204388346116,3,7
HD,후드티,29,33,0.005489465571717433,1.1091105218846622,3,7
HD,후드티,30,34,0.0044984116229861825,1.0964069626868094,3,7
HD,후드티,31,35,0.006203619153617771,1.5357767488983012,3,8
HD,후드티,32,36,0.014943270735524256,1.5875896143815316,2,8
HD,후드티,33,37,0.014568212227596827,1.572318271032355,3,8
HD,후드티,34,38,0.019423138554824543,1.125769517146714,3,8
HD,후드티,35,39,0.020766299023860107,1.2012036872433396,3,9
LG,레깅스,7,11,0.5328941871152828,1.3483932227013373,2,2
LG,레깅스,8,12,0.7185509103231856,1.2932271872062862,3,2
LG,레깅스,9,13,0.8896099675978796,1.1607660142083258,3,3
LG,레깅스,10,14,0.7969514566512034,1.0526080289084698,3,3
LG,레깅스,11,15,0.8160139511709019,0.9814404398006437,3,3
LG,레깅스,12,16,0.8360539354495291,0.9752222360899331,3,3
LG,레깅스,13,17,0.7333773633052245,0.9615545581223494,3,3
LG,레깅스,14,18,0.7208485152333856,0.9150213506059557,3,4
LG,레깅스,15,19,0.6379212095141126,0.909997574501145,3,4
LG,레깅스,16,20,0.5499631842778655,0.9903839417565848,3,4
LG,레깅스,17,21,0.6731963688485427,1.0025732025815375,3,4
LG,레깅스,18,22,0.620368323429349,1.0838375818110213,3,5
LG,레깅스,19,23,0.6860720700845482,1.0028727157729376,3,5
LG,레깅스,20,24,0.6731606990526858,1.0021421206905314,3,5
LG,레깅스,21,25,0.6188600290764456,0.954879380350329,3,5
LG,레깅스,22,26,0.5966569683863503,0.992255596766153,3,5
LG,레깅스,23,27,0.6523306636389109,0.9851482845303358,3,6
LG,레깅스,24,28,0.5858013003655429,0.9924704019662561,3,6
LG,레깅스,25,29,0.5776522171530946,0.9752994007782271,3,6
LG,레깅스,26,30,0.6017959900198154,1.0110605441770704,3,7
LG,레깅스,27,31,0.6049832535697227,1.0068722484837573,3,7
LG,레깅스,28,32,0.5889657838965695,0.9723883062110211,3,7
LG,레깅스,29,33,0.5526528366458177,1.0895752687819682,3,7
LG,레깅스,30,34,0.7498709474923162,1.0735692261523992,3,7
LG,레깅스,31,35,0.694010048211647,1.0179510568717434,3,8
LG,레깅스,32,36,0.5354218451118431,0.8275215755574074,3,8
LG,레깅스,33,37,0.42061064084850397,0.7979399620597522,3,8
LG,레깅스,34,38,0.35195064029144746,0.7737590165021443,3,8
LG,레깅스,35,39,0.2459949184066946,0.7678541765906537,3,9
MT,맨투맨,3,7,0.7201937886717823,1.216745492810131,3,1
MT,맨투맨,4,8,0.8762925463162431,1.120739887524751,3,1
MT,맨투맨,5,9,0.8979670134810864,1.0195246752376077,3,2
MT,맨투맨,6,10,0.7337236840007085,0.933654760461537,3,2
MT,맨투맨,7,11,0.7037406148329303,0.882784025583906,3,2
MT,맨투맨,8,12,0.6137477271041557,1.0146728157611522,3,2
MT,맨투맨,9,13,0.7443290747798917,0.9489374938920848,3,3
MT,맨투맨,10,14,0.5671264903343815,0.9749587862556922,3,3
MT,맨투맨,11,15,0.5388756256525039,0.8479358335183539,3,3
MT,맨투맨,12,16,0.4481784191275217,0.8454258199294938,3,3
MT,맨투맨,13,17,0.3381056838082348,0.8089552695894068,3,3
MT,맨투맨,14,18,0.28427057087311797,0.760669094517278,3,4
